availability,brand,color,description,name,price,sku
InStock,H&M,White,"Regular-fit T-shirt in soft cotton jersey with a round, rib-trimmed neckline and a straight hem.",Regular Fit Round-neck T-shirt,399.0,0685816001
InStock,H&M,Black,"Slim-fit polo shirt in soft cotton jersey with a collar, button placket and short sleeves.",Slim Fit Polo shirt,799.0,0956343001
InStock,H&M,White,"Oversized T-shirt in soft cotton jersey with a round, rib-trimmed neckline, dropped shoulders and a straight hem.",Oversized Fit Cotton T-shirt,799.0,1074658002
InStock,H&M,Black/Wednesday,"Oversized T-shirt in soft cotton jersey with a print motif. Rib-trimmed neckline, dropped shoulders and a straight-cut hem.",Oversized Fit T-shirt,1499.0,1159823020
InStock,H&M,White,Slim-fit T-shirt in soft pima cotton jersey. Round neckline with a finely-ribbed trim and a straight-cut hem.,Slim Fit Pima cotton T-shirt,1499.0,1101074001
InStock,H&M,Black,"Oversized T-shirt in heavy cotton jersey with a round, rib-trimmed neckline, dropped shoulders and a straight-cut hem.",Oversized Fit Cotton T-shirt,1299.0,1035207008
InStock,H&M,Beige,"T-shirt in soft cotton jersey with sleeves in contrasting colours. Relaxed fit with a round, rib-trimmed neckline, dropped shoulders, an open chest pocket and a straight-cut hem.",Relaxed Fit Pocket-detail T-shirt,1299.0,1164752002
InStock,H&M,Black,"Relaxed-fit, straight-cut T-shirt in soft cotton jersey with a round, rib-trimmed neckline and dropped shoulders.",Relaxed Fit T-shirt,699.0,1003662002
InStock,H&M,Light pink,Relaxed-fit T-shirt in heavy cotton jersey with a round neckline.,Relaxed Fit T-shirt,799.0,0608945093
InStock,H&M,White/Anywhere,"Regular-fit T-shirt in soft cotton jersey with a print motif, round, rib-trimmed neckline and a straight-cut hem.",Regular Fit Printed T-shirt,699.0,0684021202
InStock,H&M,Peach pink,"Regular-fit T-shirt in soft cotton jersey with a round, rib-trimmed neckline and a straight hem.",Regular Fit Round-neck T-shirt,399.0,0685816195
InStock,H&M,Black,Regular-fit top in soft cotton jersey with a round neckline and long sleeves.,Regular Fit Jersey top,799.0,1029317001
InStock,H&M,Black/Pizza slice,"T-shirt in soft cotton jersey with a print motif on the front. Relaxed fit with a round, rib-trimmed neckline and dropped shoulders.",Relaxed Fit Printed T-shirt,1299.0,1034065056
InStock,H&M,Burgundy/Your Mind,"Loose-fit T-shirt in soft jersey with a print motif on the front and back. Rib-trimmed neckline and a straight-cut hem. The T-shirt incorporates COOLMAX® functional fabric, a unique, soft, comfortable and fast-drying polyester fibre that efficiently wicks moisture while regulating temperature.",COOLMAX® Loose Fit T-shirt,1499.0,1195471003
InStock,H&M,Black,Regular-fit vest tops in stretch cotton jersey.,2-pack Regular Fit vest tops,999.0,0649098003
InStock,H&M,Blue,"Regular-fit T-shirt in soft cotton jersey with a round, rib-trimmed neckline and a straight hem.",Regular Fit Round-neck T-shirt,399.0,0685816180
InStock,H&M,Dark khaki green,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Round neckline, long raglan sleeves and a section in wind-blocking material at the front. Text motif on one sleeve and a reflective print on the back. Slightly longer at the back.",DryMove™ Long-sleeved sports top,2299.0,1168898002
InStock,H&M,Black,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Round neckline, long raglan sleeves and a section in wind-blocking material at the front. Text motif on one sleeve and a reflective print on the back. Slightly longer at the back.",DryMove™ Long-sleeved sports top,2299.0,1168898001
InStock,H&M,Dark khaki green,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and short sleeves.",DryMove™ Sports top,799.0,1158136004
InStock,H&M,Dark grey,"Sports top in stretchy DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Tight fit with a small stand-up collar, long raglan sleeves and sections in a ribbed structure at the front and back. The top is designed with the minimum number of seams for a more comfortable fit and increased mobility.",DryMove™ Seamless Sports top,1999.0,1163454001
InStock,H&M,Red,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and short sleeves.",DryMove™ Sports top,799.0,1158136003
InStock,H&M,Black,"Long, round-necked T-shirt in slub cotton jersey in a relaxed fit with a wider neckline with raw roll edges. Open chest pocket, sleeves with sewn-in turn-ups, and a rounded hem at the front. Longer at the back.",Long T-shirt,1299.0,0793704001
InStock,H&M,Turquoise,"Regular-fit, V-neck T-shirt in soft cotton jersey.",Regular Fit V-neck T-shirt,499.0,0763275044
InStock,H&M,Light pink/Dark green,"Long, round-necked T-shirts in soft cotton jersey with ribbing around the neckline. Straight, relaxed fit with a curved hem.",2-pack Long Fit T-shirts,1399.0,0945202014
InStock,H&M,Dark blue,"Regular-fit sports top in fast-drying piqué designed to help keep you dry and cool while exercising. Collar, two-button placket at the top and short sleeves with embroidered eyelets in the armpits for added ventilation. Straight-cut hem with a slit in each side.",Regular Fit Piqué sports top,1499.0,1070399006
InStock,H&M,Dark grey,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with short raglan sleeves. The top is designed with the minimum number of seams for a more comfortable fit and increased mobility.",DryMove™ Seamless Sports top,1499.0,1064051005
InStock,H&M,White,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline, dropped shoulders and short sleeves.",Sports top in DryMove™,1999.0,1119367005
InStock,H&M,Black,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Muscle fit that showcases the body’s physique, a small stand-up collar and long raglan sleeves with a print motif on one sleeve. The top can also be worn as a base layer.",DryMove™ Sports top,1499.0,1138111001
InStock,H&M,Ivory,"Innovation Metaverse Story. Oversized, see-through top in stretch mesh with raw edges. The top is covered in transparent sequins made of recycled polyester from plastic bottles to add shine and texture. Deep, slightly V-shaped neckline, dropped shoulders and extra-long sleeves. Slightly forward-facing side seams and a straight-cut hem.",Oversized sequined top,4999.0,1100770001
InStock,H&M,Beige marl,Short-sleeved top in fast-drying functional fabric designed to help keep you dry and cool while exercising. Round neckline and a rounded hem. Longer at the back for a better fit and increased mobility.,Loose Fit Sports top,1499.0,0948855031
InStock,H&M,Dark grey marl,Short-sleeved top in fast-drying functional fabric designed to help keep you dry and cool while exercising. Round neckline and a rounded hem. Longer at the back for a better fit and increased mobility.,Loose Fit Sports top,1499.0,0948855001
InStock,H&M,Brown,"Sports vest top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and laser-cut holes at the back for increased ventilation.",DryMove™ Sports vest top,1499.0,1152059002
InStock,H&M,Black/White,"Tennis T-shirt in stretchy DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round, rib-trimmed neckline and short sleeves with a ribbed trim. Mesh panel at the back for maximum ventilation. Contrasting colour trims.",DryMove™ Tennis T-shirt,1499.0,1138088001
InStock,H&M,Black,Studio Collection. Oversized vest top in a soft hole knit in yarn containing some recycled polyester. Ribbing around the neckline and armholes.,Oversized hole-knit vest top,3599.0,1143383001
InStock,H&M,Dark blue,"Top in fast-drying functional fabric with good air permeability to wick away moisture and help keep you dry and cool while exercising. Round neckline with a narrow trim, front-facing shoulder seams and short sleeves.",Regular Fit Sports top,799.0,1090501002
InStock,H&M,Black,"Sports T-shirt in printed DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a ribbed trim around the neckline and dropped shoulders.",DryMove™ Printed sports T-shirt,1299.0,1158018005
InStock,H&M,Dark khaki green,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a small stand-up collar, zip down the front and extra-long sleeves with a thumbhole at the cuffs. Reflective detail on the back.",DryMove™ Zip-through sports top,2299.0,1175023002
InStock,H&M,Turquoise/Beige/White,"Slim-fit, V-neck T-shirts in soft jersey.",3-pack Slim Fit V-neck T-shirts,1999.0,0542533054
InStock,H&M,Brick red/Patterned,"Running top in DryMove™ functional mesh fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline, short raglan sleeves and reflective print motifs on the front, sleeves and back.",DryMove™ Running top,1499.0,1154822003
InStock,H&M,Dark green/White,"Tennis T-shirt in stretchy DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round, rib-trimmed neckline and short sleeves with a ribbed trim. Mesh panel at the back for maximum ventilation. Contrasting colour trims.",DryMove™ Tennis T-shirt,1499.0,1138088002
InStock,H&M,Light brown,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline and dropped shoulders.",DryMove™ Sports top,1299.0,1145203002
InStock,H&M,Pigeon blue,Short-sleeved top in fast-drying functional fabric designed to help keep you dry and cool while exercising. Round neckline and a rounded hem. Longer at the back for a better fit and increased mobility.,Loose Fit Sports top,1499.0,0948855046
InStock,H&M,Yellow,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and a straight-cut hem.",DryMove™ Sports top,1299.0,1144673003
InStock,H&M,Pistachio green,"Long, round-necked T-shirt in soft jersey with a curved hem.",T-shirt Long Fit,699.0,0598755089
InStock,H&M,Dark green,Regular-fit T-shirt in jersey. Round neckline with a narrow trim.,Regular Fit T-shirt,999.0,1050748006
InStock,H&M,Navy blue,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and short sleeves.",DryMove™ Sports top,799.0,1158136007
InStock,H&M,White,"Sports T-shirt in printed DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a ribbed trim around the neckline and dropped shoulders.",DryMove™ Printed sports T-shirt,1299.0,1158018006
InStock,H&M,Sage green striped,"Short-sleeved polo shirt in a cotton weave. Relaxed fit with a ribbed collar, button placket, dropped shoulders and a straight-cut hem with a slit at each side.",Relaxed Fit Polo shirt,1499.0,1162387005
InStock,H&M,Blue,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline and dropped shoulders.",DryMove™ Sports top,1299.0,1145203001
InStock,H&M,Grey,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and short sleeves.",DryMove™ Sports top,799.0,1158136002
InStock,H&M,Light brown,"Sports vest top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline and slightly deeper armholes.",DryMove™ Sports vest top,999.0,1145208006
InStock,H&M,Black,"Top in fast-drying functional fabric with good air permeability to wick away moisture and help keep you dry and cool while exercising. Round neckline with a narrow trim, front-facing shoulder seams and short sleeves.",Regular Fit Sports top,799.0,1090501001
InStock,H&M,White,"Long-sleeved top in soft jersey with a round neckline. Made using THERMOLITE® technology, this product has been developed to keep you warm with minimum bulk and weight.",THERMOLITE® Regular Fit Jersey top,1299.0,1024743002
InStock,H&M,Bright green,Short-sleeved top in fast-drying functional fabric designed to help keep you dry and cool while exercising. Round neckline and a rounded hem. Longer at the back for a better fit and increased mobility.,Loose Fit Sports top,1499.0,0948855050
InStock,H&M,Blue,"Long, round-necked T-shirt in soft jersey with a curved hem.",T-shirt Long Fit,699.0,0598755088
InStock,H&M,White/Grey/Black,Slim-fit tops in soft jersey made from a cotton blend with a round neckline and long sleeves.,3-pack Slim Fit jersey tops,2299.0,0578626028
InStock,H&M,Dark green,"Tennis shirt in stretchy DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a collar, zip at the top, short sleeves and a ventilation hole under the arms. Straight-cut hem with a slit at each side.",DryMove™ Tennis shirt,1999.0,1138069003
InStock,H&M,Light beige,Regular-fit T-shirt in jersey. Round neckline with a narrow trim.,Regular Fit T-shirt,999.0,1050748007
InStock,H&M,Black,Regular-fit T-shirt in jersey. Round neckline with a narrow trim.,Regular Fit T-shirt,999.0,1050748001
InStock,H&M,White,"Regular-fit T-shirts in soft cotton jersey with a round, rib-trimmed neckline and a straight hem.",10-pack Regular Fit Round-neck T-shirts,4999.0,0975620021
InStock,H&M,Light blue/Jaws,"Relaxed-fit T-shirt in soft cotton jersey with a print motif. Round, rib-trimmed neckline, dropped shoulders and a straight-cut hem.",Relaxed Fit Printed T-shirt,1499.0,1059431021
InStock,H&M,Light beige,"Slim-fit polo shirt in soft cotton jersey with a collar, button placket and short sleeves.",Slim Fit Polo shirt,799.0,0956343012
InStock,H&M,Black/Empower,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline, dropped shoulders and short sleeves.",Sports top in DryMove™,1999.0,1119367002
InStock,H&M,Black,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline and dropped shoulders.",DryMove™ Sports top,1299.0,1145203007
InStock,H&M,White/Looney Tunes,T-shirt in soft cotton jersey with a round neckline and a print motif on the front.,Regular Fit T-shirt,799.0,0973277040
InStock,H&M,Brown,Short-sleeved top in fast-drying functional fabric designed to help keep you dry and cool while exercising. Round neckline and a rounded hem. Longer at the back for a better fit and increased mobility.,Loose Fit Sports top,1499.0,0948855051
InStock,H&M,Light blue,"Regular-fit T-shirt in soft jersey with a round, rib-trimmed neckline and a straight-cut hem. The T-shirt incorporates COOLMAX® functional fabric, a unique, soft, comfortable and fast-drying polyester fibre that efficiently wicks moisture while regulating temperature.",COOLMAX® Regular Fit T-shirt,999.0,0967153017
InStock,H&M,Grey/Develop,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline, short sleeves and a print motif.",DryMove™ Sports top,1299.0,1168448003
InStock,H&M,Dark grey marl,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Muscle fit with narrow shoulders and tapered sleeves to create a flattering silhouette.",Sports top in DryMove™,1299.0,0653275031
InStock,H&M,White/Dark green,"Tennis T-shirt in stretchy DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round, rib-trimmed neckline and short sleeves with a ribbed trim. Mesh panel at the back for maximum ventilation. Contrasting colour trims.",DryMove™ Tennis T-shirt,1499.0,1138088004
InStock,H&M,Dark grey/Black,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Round neckline, long sleeves and anti-chafe flatlock seams. Muscle fit with narrow shoulders and tapered sleeves to create a flattering silhouette.",DryMove™ Sports top,1999.0,1177441002
InStock,H&M,Light blue/Light purple,Slim-fit T-shirts in soft cotton jersey with a round neckline.,5-pack Slim Fit T-shirts,2999.0,0624684024
InStock,H&M,White,"Regular-fit sports top in fast-drying piqué designed to help keep you dry and cool while exercising. Collar, two-button placket at the top and short sleeves with embroidered eyelets in the armpits for added ventilation. Straight-cut hem with a slit in each side.",Regular Fit Piqué sports top,1499.0,1070399011
InStock,H&M,Black,"Relaxed-fit T-shirt in soft cotton jersey with a round, rib-trimmed neckline, a silicone appliqué and a straight-cut hem. Nylon bellows pocket on the chest with a flap and concealed press-stud.",Relaxed Fit Pocket-detail T-shirt,1499.0,1165581001
InStock,H&M,Beige,"Slim-fit, round-necked T-shirt in soft jersey.",Slim Fit Round-necked T-shirt,699.0,0570002156
InStock,H&M,White,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline and dropped shoulders.",DryMove™ Sports top,1299.0,1145203005
InStock,H&M,Light purple,"Relaxed-fit, straight-cut T-shirt in soft cotton jersey with a round, rib-trimmed neckline and dropped shoulders.",Relaxed Fit T-shirt,699.0,1003662032
InStock,H&M,Sage green,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline and dropped shoulders.",DryMove™ Sports top,1299.0,1145203008
InStock,H&M,Black,"Regular-fit T-shirt in a soft, rib-knit cotton blend with a round neckline and a straight hem.",Regular Fit Rib-knit T-shirt,1999.0,1136716001
InStock,H&M,White/To Develop,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline, short sleeves and a print motif.",DryMove™ Sports top,1299.0,1168448002
InStock,H&M,White,Regular-fit T-shirt in jersey. Round neckline with a narrow trim.,Regular Fit T-shirt,999.0,1050748002
InStock,H&M,Black,"Tennis shirt in stretchy DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a collar, zip at the top, short sleeves and a ventilation hole under the arms. Straight-cut hem with a slit at each side.",DryMove™ Tennis shirt,1999.0,1138069002
InStock,H&M,Black,"Polo shirt in soft, fine-knit cotton. Regular fit with a ribbed collar and a V-shaped opening at the front. Gently dropped shoulders, long sleeves and ribbing around the cuffs and hem.",Regular Fit Cotton polo shirt,2699.0,1195407002
InStock,H&M,Beige,Short-sleeved top in fast-drying functional fabric designed to help keep you dry and cool while exercising. Round neckline and a rounded hem. Longer at the back for a better fit and increased mobility.,Loose Fit Sports top,1499.0,0948855044
InStock,H&M,Black,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Round neckline, long sleeves and anti-chafe flatlock seams. Muscle fit with narrow shoulders and tapered sleeves to create a flattering silhouette.",DryMove™ Sports top,1999.0,1177441001
InStock,H&M,Bright blue,"Loose-fit T-shirt in soft cotton jersey with a round, rib-trimmed neckline and a straight-cut hem.",Loose Fit T-shirt,699.0,1195983002
InStock,H&M,Black,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a stand-up collar, zip at the top, long sleeves and elasticated smocking at the cuffs and hem. Zipped kangaroo pocket at the front with an inner mobile phone compartment. Four-way stretch for maximum comfort and added mobility. Unlined.",DryMove™ Zip-top sports top,2999.0,1132496001
InStock,H&M,Dark turquoise/Coral,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and short raglan sleeves. Sections in a contrasting colour and fabric.",DryMove™ Sports top,1499.0,1177449007
InStock,H&M,Dark khaki green,"Running top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with extra-long, raglan sleeves, reflective details at the back and cuffs, and a slit in each side of the hem. Slightly longer at the back.",Running top in DryMove™,1499.0,1025397012
InStock,H&M,White,"Tennis shirt in stretchy DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a collar, zip at the top, short sleeves and a ventilation hole under the arms. Straight-cut hem with a slit at each side.",DryMove™ Tennis shirt,1999.0,1138069001
InStock,H&M,Grey/Block-coloured,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and short raglan sleeves. Sections in a contrasting colour and fabric.",DryMove™ Sports top,1499.0,1177449003
InStock,H&M,Green,"Slim-fit, V-neck T-shirt in soft cotton jersey.",Slim Fit V-neck T-shirt,699.0,0570003115
InStock,H&M,Dark turquoise marl,Short-sleeved top in fast-drying functional fabric designed to help keep you dry and cool while exercising. Round neckline and a rounded hem. Longer at the back for a better fit and increased mobility.,Loose Fit Sports top,1499.0,0948855048
InStock,H&M,Light brown,"Running top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with extra-long, raglan sleeves, reflective details at the back and cuffs, and a slit in each side of the hem. Slightly longer at the back.",Running top in DryMove™,1499.0,1025397011
InStock,H&M,Coral,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline and dropped shoulders.",DryMove™ Sports top,1299.0,1145203006
InStock,H&M,White,Slim-fit T-shirts in soft jersey with a round neckline.,3-pack Slim Fit T-shirts,1999.0,0578630002
InStock,H&M,Black,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a small stand-up collar, zip down the front and extra-long sleeves with a thumbhole at the cuffs. Reflective detail on the back.",DryMove™ Zip-through sports top,2299.0,1175023001
InStock,H&M,Black,"Regular-fit T-shirts in soft cotton jersey with a round, rib-trimmed neckline and a straight hem.",10-pack Regular Fit Round-neck T-shirts,4999.0,0975620020
InStock,H&M,Light green,"Sports vest top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Muscle fit to create a flattering silhouette. Round neckline, laser-cut edges around the armholes and anti-chafe flatlock seams. Laser-cut holes at the back and a print motif on the chest.",DryMove™ Sports vest top,1499.0,1183727002
InStock,H&M,Black/White,Short-sleeved sports tops in fast-drying functional fabric with good air permeability to wick away moisture.,2-pack sports tops,1499.0,0816111031
InStock,H&M,Turquoise,Regular-fit T-shirt in soft pima cotton jersey. Round neckline with a finely-ribbed trim and a straight-cut hem.,Regular Fit Pima cotton T-shirt,1499.0,1101075015
InStock,H&M,White/Palm trees,"T-shirt in soft cotton jersey with an all-over print. Regular fit with a round, rib-trimmed neckline and straight-cut hem.",Regular Fit Cotton T-shirt,1299.0,1064816006
InStock,H&M,White,"Slim-fit, V-neck T-shirts in soft jersey.",3-pack Slim Fit V-neck T-shirts,1999.0,0542533001
InStock,H&M,Khaki green,Vest top in ribbed jersey made from a cotton blend.,Ribbed vest top,599.0,0881698017
InStock,H&M,Blue/N.Y. Neighbours,"Relaxed-fit T-shirt in soft cotton jersey with a print motif, round, rib-trimmed neckline, dropped shoulders and a straight-cut hem.",Relaxed Fit Printed T-shirt,799.0,1032522051
InStock,H&M,Dark yellow,"Oversized T-shirt in soft cotton jersey with a round, rib-trimmed neckline, dropped shoulders and a straight hem.",Oversized Fit Cotton T-shirt,799.0,1074658017
InStock,H&M,Black,"Sports T-shirt in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Raglan sleeves and anti-chafe flatlock seams for added comfort and increased mobility. Slightly longer at the back. Muscle fit with narrow shoulders and tapered sleeves to create a flattering silhouette.",DryMove™ Sports T-shirt,1499.0,1168526001
InStock,H&M,Yellow/Striped,"T-shirt in jersey made from a linen and cotton blend. Regular fit with a round, rib-trimmed neckline and a straight-cut hem.",Regular Fit Linen-blend T-shirt,1499.0,1167996002
InStock,H&M,Dark green,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline, dropped shoulders and short sleeves.",Sports top in DryMove™,1999.0,1119367006
InStock,H&M,White,"Slim-fit, V-neck T-shirts in cotton jersey.",5-pack Slim Fit T-shirts,2699.0,0945059020
InStock,H&M,White/Grey marl,"Pyjamas with a slim-fit vest top and pair of regular-fit shorts in soft jersey. The shorts have an elasticated waist, a fake fly and side pockets.",Pyjama vest top and shorts,1499.0,1185543001
InStock,H&M,Sage green,Regular-fit sports top in fast-drying fabric designed to help keep you dry and cool while exercising. Stand-up collar and zip with a chin guard at the top. Long sleeves in a raglan cut to minimise chafing.,Long-sleeved sports top,1999.0,1088499007
InStock,H&M,Dark khaki green,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a stand-up collar, zip at the top and long sleeves. Reflective details on the front and back.",DryMove™ Zip-top sports top,1999.0,1163612005
InStock,H&M,Dark red,"Polo shirt in a soft, fine-knit linen blend. Regular fit with a rib-knit collar and V-shaped opening at the top.",Regular Fit Linen-blend polo shirt,2299.0,1067136006
InStock,H&M,Black,"Regular-fit sports top in fast-drying piqué designed to help keep you dry and cool while exercising. Collar, two-button placket at the top and short sleeves with embroidered eyelets in the armpits for added ventilation. Straight-cut hem with a slit in each side.",Regular Fit Piqué sports top,1499.0,1070399001
InStock,H&M,Grey/Patterned,"Running vest top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and a gently rounded hem at the back.",DryMove™ Running vest top,799.0,1082103012
InStock,H&M,Burgundy marl,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Muscle fit with narrow shoulders and tapered sleeves to create a flattering silhouette.",Sports top in DryMove™,1299.0,0653275078
InStock,H&M,Dark khaki green,"Running top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline, short sleeves in a raglan cut to minimise chafing, and a slit at each side of the hem. Reflective details on the sleeves and back.",DryMove™ Running top,1299.0,1025399041
